"CODIGO DE MUNICIPIO","MUNICIPIO","DEPARTAMENTO","MORTALIDAD POR OBESIDAD","MORTALIDAD POR CANCER","MORTALIDAD POR CARDIOVASCULAR","MORTALIDAD POR HIPERTENSION","MORTALIDAD POR DIABETES","MORTALIDAD POR ENFERMEDADES RESPIRATORIAS","MORTALIDAD POR CONSUMO DE ALCOHOL","MORTALIDAD POR CONSUMO DE DROGAS ILICITAS","MORTALIDAD POR ACCIDENTES DE TRANSPORTE","HOMICIDIOS","MORTALIDAD POR ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A SUSTANCIAS NOCIVAS",""
"5001","Antioquia","Medellín","0011","3242","2196","0682","0283","1811","0041","0001","0343","0460","0015",""
"5002","Antioquia","Abejorral","","0024","0023","0003","0004","0012","","","0002","0004","",""
"5004","Antioquia","Abriaquí","","0002","0002","0001","","0001","","","","","",""
"5021","Antioquia","Alejandría","","0003","0004","0004","","0004","","","","0001","",""
"5030","Antioquia","Amagá","","0031","0027","0003","0004","0025","","","0006","0010","0002",""
"5031","Antioquia","Amalfi","","0025","0013","0010","0001","0011","","","0007","0019","",""
"5034","Antioquia","Andes","0001","0041","0038","0006","0011","0033","0001","","0008","0025","",""
"5036","Antioquia","Angelópolis","","0006","0005","","0003","0003","","","","0003","",""
"5038","Antioquia","Angostura","","0008","0007","0003","0003","0005","","","0001","0005","",""
"5040","Antioquia","Anorí","","0005","0005","0002","0001","0008","","","0001","0010","",""
"5042","Antioquia","Santafé de Antioquia","","0022","0024","0001","0003","0014","0001","","0020","0016","",""
"5044","Antioquia","Anza","","0010","0013","","0001","0002","0001","","0002","","",""
"5045","Antioquia","Apartadó","","0088","0089","0019","0017","0040","","","0026","0031","",""
"5051","Antioquia","Arboletes","","0006","0015","0003","0003","0006","","","0002","0001","",""
"5055","Antioquia","Argelia","","0001","0003","0005","","0007","","","0001","0002","",""
"5059","Antioquia","Armenia","","0002","0010","","","0001","","","","0003","",""
"5079","Antioquia","Barbosa","","0051","0036","0011","0009","0027","","","0011","0027","",""
